instruction	concept_list	shared_property
Use the Input below to identify the common property or characteristic shared by all these concepts.	salt,pepper,sugar,turmeric,baking soda	common kitchen ingredients
Use the Input below to identify the common property or characteristic shared by all these concepts.	kitten,dog,cat,puppy,horse	common pets
Use the Input below to identify the common property or characteristic shared by all these concepts.	cumin,sugar,cinnamon,paprika,turmeric	common spices
Use the Input below to identify the common property or characteristic shared by all these concepts.	peas,broccoli,zucchini,potatoes,carrots	common vegetables
Use the Input below to identify the common property or characteristic shared by all these concepts.	dog,bird,fish,hamster,cat	commonly kept as pets
Use the Input below to identify the common property or characteristic shared by all these concepts.	raspberry,butter,nutmeg,cinnamon,sugar	commonly used in baking
Use the Input below to identify the common property or characteristic shared by all these concepts.	ginger,rosemary,green pepper,pepper,flour	commonly used in cooking
Use the Input below to identify the common property or characteristic shared by all these concepts.	garlic powder,salt,clove,ginger,cardamom	commonly used spices
Use the Input below to identify the common property or characteristic shared by all these concepts.	lying,introductions,authorization,dialogue,business communication	communicating
Use the Input below to identify the common property or characteristic shared by all these concepts.	mediums,exhortation,indications,voices,paralanguages	communication
Use the Input below to identify the common property or characteristic shared by all these concepts.	cb radio,telephones,printer,photocopier,landline	communication devices
Use the Input below to identify the common property or characteristic shared by all these concepts.	ramblers,reporters,signers,correspondents,publicists	communicators
Use the Input below to identify the common property or characteristic shared by all these concepts.	better places,slams,sharpies,food companies,swatchs	companies
Use the Input below to identify the common property or characteristic shared by all these concepts.	cable cars,modules,cars,boots,couchettes	compartments
Use the Input below to identify the common property or characteristic shared by all these concepts.	ties,general elections,solitaire,playing cards,public debates	competition
Use the Input below to identify the common property or characteristic shared by all these concepts.	everything,features,ideas,ideas simple and others,life	complex
Use the Input below to identify the common property or characteristic shared by all these concepts.	syndromes,ideas,neural net,labyrinths,language	complexs
Use the Input below to identify the common property or characteristic shared by all these concepts.	subwoofers,points,retrofits,accessories,making	components
Use the Input below to identify the common property or characteristic shared by all these concepts.	pedals,frame,gears,spokes,wheels	components of a bicycle
Use the Input below to identify the common property or characteristic shared by all these concepts.	sentences,title,genre,binding,authorship	components of a book
Use the Input below to identify the common property or characteristic shared by all these concepts.	tires,wheels,wheel,steering column,accelerator	components of a car
Use the Input below to identify the common property or characteristic shared by all these concepts.	case,storage,mouse,memory,screen	components of a computer
Use the Input below to identify the common property or characteristic shared by all these concepts.	engine,chassis,tyres,brakes,exhaust	components of a motorcycle
Use the Input below to identify the common property or characteristic shared by all these concepts.	dialogue,author,chapters,conflict,theme	components of a novel
Use the Input below to identify the common property or characteristic shared by all these concepts.	beat,rhythm,melody,tempo,chorus	components of a song
